PLAY "Play"
YOU_CANT_USE_THIS_ITEM "You can't use this item."
YOU_CAPTURED "You are captured!"
YOU_CHAT_WITH "You chat with {1}."
YOU_COLLAPSE "You collapse!"
YOU_COVER_YOUR_NOSE "You cover your nose."
YOU_DIE_OF_PLAGUE "You die of plague!"
YOU_DISMOUNT "You dismount {1}."
YOU_DONT_HAVE_THIS_SKILL "You don't have this skill."
YOU_DONT_KNOW_HOW_TO_LEAVE "You don't know how to leave this area."
YOU_DRINK "You drink {1}."
YOU_ENTER_PORTAL "You enter the portal."
YOU_EQUIP "You equip {1}."
YOU_FALL_ASLEEP "You fall asleep."
YOU_FALL_ASLEEP_IN "You fall asleep on the {1}."
YOU_FALL_OFF "You fall off {1}!"
YOU_FALL_ON_THE "You fall on the {1}!"
YOU_FEEL_LIKE_A_DANCING_FOOL "You feel like a dancing fool!"
YOU_FREAK_OUT "You freak out!"
YOU_GIVE_ITEM_TO "You give {1} to {2}."
YOU_HAVE_NO_HEALTHY_ARMS "You have no healthy arms!"
YOU_HEAR_A_LOUD_SPLASH "You hear a loud splash."
YOU_HEAR_HORRIBLE_SCREAM "You hear a horrible scream!"
YOU_HEAR_SNORING "You hear snoring."
YOU_HEAR_SOMEONE_DROWNING "You hear a loud splash."
YOU_NO_LONGER_AGGRAVATE_ENEMIES "You no longer aggravate enemies."
YOU_NO_LONGER_INVISIBLE "You are no longer invisible."
YOU_PET "You pet {1}."
YOU_PUT_ON_SUNGLASSES "You put on your sunglasses."
YOUR_BREATH_IS_FRESH_AGAIN "You smell like flowers again."
YOUR_BREATH_STINKS "Your breath stinks!"
YOUR_CARRY_CAPACITY_INCREASES "Your carry capacity increases!"
YOUR_CARRY_CAPACITY_IS_LIMITED_AGAIN "Your carry capacity is limited again."
YOU_READ "You read {1}."
YOU_REGAIN_CONSIOUSNESS "You regain consciousness."
YOU_REGAIN_SANITY "You regain sanity."
YOU_REMOVE_SUNGLASSES "You remove your sunglasses."
YOU_RETURN_TO_YOUR_PREVIOUS_FORM "You return to your previous form."
YOUR_INFECTION_SUBSIDES "Your infection subsides."
YOUR_LIFE_WILL_BE_SAVED "Your life will be saved."
YOUR_SPURS_STOP_SPINNING "Your spurs stop spinning."
YOU_SHATTER "You shatter into a thousand pieces!"
SHATTERS "{1} shatters into a thousand pieces!"
YOU_SPIN_YOUR_SPURS "You spin your spurs."
YOU_SQUASHED_BY "You are squashed by {1}!"
YOU_STOP_BURNING "You stop burning."
YOU_THROW "You throw {1}."
YOU_TRIGGER_SOMETHING "You trigger something."
YOU_WAKE_UP "You wake up!"
PARENTHESES "({1})"
SPACE "{1} {2}"
AND "{1} and {2}"
BODY_SIZE_AND_MATERIAL_AND_LIMBS "{1} and made of {2} with {3}."
BODY_SIZE_AND_MATERIAL "{1} and made of {2}."
BUFF_DESC_PREGNANT "This is no dream! This is really happening!"
BUFF_DESC_SLOWED "Causes unnaturally slow movement."
BUFF_DESC_SPEED "Grants an extra move every turn."
BUFF_DESC_BLIND "Causes blindness"
BUFF_DESC_INVISIBLE "Makes you invisible to enemies."
BUFF_DESC_PLAGUE "Decreases health every turn when it's above 50%. A small percent of creatures can die, others don't suffer from health loss."
BUFF_DESC_PLAGUE_RESISTANT "Protects from plague infection."
BUFF_DESC_POISON "Decreases health every turn by a little bit."
BUFF_DESC_POISON_RESISTANT "Gives poison resistance."
BUFF_DESC_FLYING "Causes levitation."
BUFF_DESC_COLLAPSED "Moving across tiles takes three times longer."
BUFF_DESC_PANIC "Increases defense and lowers damage."
BUFF_DESC_RAGE "Increases damage and lowers defense."
BUFF_DESC_HALLU "Causes hallucinations."
BUFF_DESC_SLEEP_RESISTANT "Prevents being put to sleep."
BUFF_DESC_SLEEP "Puts to sleep."
BUFF_DESC_IMMOBILE "Creature does not move."
BUFF_DESC_TIED_UP "web"
BUFF_DESC_ENTANGLED "web"
BUFF_DESC_STUNNED "Allows enslaving as a prisoner, otherwise creature will die."
BUFF_DESC_INSANITY "Makes the target hostile to every creature."
BUFF_DESC_PEACEFULNESS "Makes the target friendly to every creature."
BUFF_DESC_CAPTURE_RESISTANCE "Increases defense by 30% when capture order is placed."
BUFF_DESC_DARKNESS_SOURCE "Causes the closest vicinity to become dark. Protects undead from sunlight."
BUFF_DESC_LIGHT_SOURCE "Casts light on the closest surroundings."
BUFF_DESC_NIGHT_VISION "Gives vision in the dark at full distance."
BUFF_DESC_ELF_VISION "Allows to see and shoot through trees."
BUFF_DESC_ARCHER_VISION "Allows to see and shoot through arrowslits."
BUFF_DESC_WARNING "Warns about dangerous enemies and traps."
BUFF_DESC_TELEPATHY "Allows you to detect other creatures with brains."
BUFF_DESC_SUNLIGHT_VULNERABLE "Sunlight makes your body crumble to dust."
BUFF_DESC_SATIATED "Increases morale and improves defense by +1."
BUFF_DESC_RESTED "Increases morale and improves defense by +1."
BUFF_DESC_SUMMONED "Will disappear after the given number of turns."
BUFF_DESC_FAST_CRAFTING "Increases crafting speed."
BUFF_DESC_FAST_TRAINING "Increases training and studying speed."
BUFF_DESC_SLOW_CRAFTING "Decreases crafting speed."
BUFF_DESC_SLOW_TRAINING "Decreases training and studying speed."
BUFF_DESC_ENTERTAINER "Makes jokes, increasing morale of nearby creatures."
BUFF_DESC_BAD_BREATH "Decreases morale of all nearby creatures."
BUFF_DESC_ON_FIRE "The creature is burning alive."
BUFF_DESC_FROZEN "The creature is frozen and cannot move."
BUFF_DESC_MAGIC_CANCELLATION "Prevents from casting any spells."
BUFF_DESC_DISAPPEAR_DURING_DAY "This creature is only active at night and disappears at dawn."
BUFF_DESC_NO_CARRY_LIMIT "The creature can carry items without any weight limit."
BUFF_DESC_SPYING "The creature can infiltrate enemy lines."
BUFF_DESC_LIFE_SAVED "Prevents the death of the creature."
BUFF_DESC_UNSTABLE "Creature may become insane after witnessing the death of an ally."
BUFF_DESC_OIL "Creature is covered in oil and may be set on fire."
BUFF_DESC_SWARMER "Grants damage and defense bonus for every other swarmer in vicinity."
BUFF_DESC_PSYCHIATRY "Creature won't be attacked by insane creatures."
BUFF_DESC_TURNED_OFF "Creature requires more automaton engines built."
BUFF_DESC_DRUNK "Compromises fighting abilities."
BUFF_DESC_NO_FRIENDLY_FIRE "Arrows and other projectiles bypass allies and only hit enemies."
BUFF_DESC_POLYMORPHED "Creature will revert to original form."
BUFF_DESC_AGGRAVATES "Makes enemies more aggressive and more likely to attack the base."
BUFF_DESC_CAN_DANCE "Can dance all night long."
BUFF_DESC_STEED "Can carry a rider."
BUFF_DESC_RIDER "Can ride a steed."
BUFF_DESC_LOCKED_POSITION "Creatures can't swap position with this automaton."
CANT_CAST_SPELLS_BECAUSE_OF "You can't cast spells while under the effect of {1}."
FLIES_AWAY "{1} flies away."
ITEM_TOO_HEAVY "{1} is too heavy!"
OBJECT_CRASHES_ON "{1} crashes on {2}."
PLURAL_ITEMS_A "{2} {1}"
PLURAL_ITEMS_THE "{2} {1}"
REACHES_EXP_LEVEL "{1} reaches experience level {2}."
SPECIAL_ATTR_ADJECTIVE "{1} {2} {3}"
TORTURES "{1} tortures {2}."
WHIPS "{1} whips {2}."
YOU_ARE_TOO_SMALL_TO_PUSH "You are too small to push {1}."
YOU_NEED_TO_HANDS_TO_WIELD "You need two hands to wield {1}!"
CREATURE_GROUP "{1} of {3} {2}"
AGAINST "against {1}"
CREATURES_WITH_AT_LEAST_X_KILLS "creatures with at least {1} kills"
CREATURES_WITH_ATTR_AT_LEAST "creatures with at least {1} {2}"
CREATURES_WITH_MAX_TRAINING_LEVEL_BELOW "creatures with max training level below {1}"
ADD_INTRINSIC_ATTACK_EFFECT_DESCRIPTION "Adds an extra {1} attack"
ADD_INTRINSIC_ATTACK_EFFECT_NAME "extra {1} attack"
AREA_EFFECT_DESCRIPTION "Area effect of radius {1}: {2}"
AREA_EFFECT_NAME "Area effect: {1}"
A_TRAP_IS_TRIGGERED "A {1} trap is triggered"
BUFF_EFFECT_DESCRIPTION "{1} Lasts {2} turns."
COMPANION_EFFECT_DESCRIPTION "Grants a permanent {1} companion"
CUSTOM_AREA_EFFECT_DESCRIPTION "Custom area effect: {1}"
CUSTOM_AREA_EFFECT_NAME "Custom area: {1}"
DAMAGE_EFFECT_DESCRIPTION "Causes {1}"
EMIT_GAS_DESCRIPTION "Emits {1}"
EXTRA_BODY_PART_EFFECT_DESCRIPTION "Adds a {1}"
EXTRA_BODY_PART_EFFECT_NAME "extra {1}"
EXTRA_BODY_PARTS_EFFECT_DESCRIPTION "Adds {1}"
EXTRA_BODY_PARTS_EFFECT_NAME "extra {1}"
FIXED_DAMAGE_EFFECT_DESCRIPTION "Causes {2} {1}"
FIXED_DAMAGE_EFFECT_NAME "{2} {1}"
INJURE_BODY_PART_EFFECT_DESCRIPTION "Injures {1}"
INJURE_BODY_PART_EFFECT_NAME "injure {1}"
LOSE_BODY_PART_EFFECT_DESCRIPTION "Causes you to lose a {1}"
LOSE_BODY_PART_EFFECT_NAME "lose {1}"
REMOVE_ABILITY_EFFECT_DESCRIPTION "Removes ability: {1}"
REMOVE_ABILITY_EFFECT_NAME "remove {1}"
REMOVE_BUFF_DESCRIPTION "Removes/cures from {1}"
REMOVE_BUFF_NAME "remove {1}"
SPELL_SCHOOL_EFFECT_DESCRIPTION "Grants the {1} spell school"
SPELL_SCHOOL_EFFECT_NAME "Grant {1} spell school"
TECH_EFFECT_DESCRIPTION "Provides {1}"
YOU_ARE_GRANTED_A_WISH "You are granted a wish!"
YOU_CANT_SWAP_POSITION_WITH "You can't swap position with {1}"
OBJECT_FILLS_HOLE "{1} fills the {2}."
STATUE_OF_SAINT "{1} of Saint {2}"
ACHIEVEMENT_UNLOCKED "Achievement unlocked: {1}"
AND_SO_DIES "And so dies {1}."
AND_SO_DIES_OF_REASON "And so dies {1}, {2}."
NO_FUNCTIONAL_BODY_PART "No functional body part: {1}"
X_TO_VILLAGE_ACTION " to {1}"
ITEM_BURNS_OUT "{1} burns out."
ITEM_CATCHES_FIRE "{1} catches fire."
ITEM_DISAPPEARS "{1} disappears!"
ITEM_NAMED "named {1}"
ITEM_NAME_WITH_SUFFIXES "{1} {2}"
ITEM_PREFIX "{2} {1}"
ITEM_PRICE "({1} gold)"
ITEM_SUFFIX "{1} {2}"
ITEM_SUFFIXES "{1}"
USES_LEFT "{1} ({2} uses left)"
ITEM_ATTR_IMPROVED_BY "Item attributes are improved by {1}"
BALSAM_OF "balsam of {1}"
BALSAMS_OF "balsams of {1}"
BODY_PART_OF "{1} {2}"
BOOK_OF "book of {1}"
BOOKS_OF "books of {1}"
GLYPHS "glyphs {1}"
MUSHROOM_OF "mushroom of {1}"
MUSHROOMS_OF "mushrooms of {1}"
POTION_OF "{1}potion of {2}"
POTIONS_OF "{1}potions of {2}"
BREAKS_FREE_FROM "{1} breaks free from {2}."
CAN_SEE_YOU_HIDING "{1} can see you hiding."
CUTS_TENTACLE "{1} cuts the kraken's tentacle."
YOU_BECOME "You become {1}."
YOU_BURN_IN "You burn in the {1}."
YOU_DROWN_IN "You drown in the {1}."
ADDS_TRAINING_LEVELS "Adds up to {1} {2} levels."
BUILDINGS_COUNT_AVAILABLE "({1} available)"
CHALLENGES_YOU_TO_A_DUEL "{1} challenges you to a duel. Do you accept?"
COMBINE_SENTENCES "{1} {2}"
COST_DOUBLES_FOR_EVERY "Cost doubles for every {1} {2}."
FIRST_X_ARE_FREE "First {1} {2} are free."
INCREASES_LUXURY_BY "Increases luxury by {1}."
INCREASES_POP_LIMIT_BY "Increases {1} limit by {2}."
INCREASES_POP_LIMIT_BY_UP_TO "Increases {1} limit by {2}, up to {3}."
IS_ENGAGED_IN_A_FIGHT_WITH "{1} is engaged in a fight with {2}."
ITEM_INFO_NAME_COMPANION_STEED "{1} (companion)"
ITEM_WONT_BE_ASSIGNED_BECAUSE_SLOT_LOCKED "{1} won't be permanently assigned because the slot is locked."
JOINS_YOUR_TEAM "{1} joins your team."
LEGENDARY_CRAFTSMAN_AT "Legendary craftsman at {1}."
MISSING_TECHNOLOGY "Requires technology: {1}"
MULTIPLE_ITEMS "{1} {2}"
PERMANENT_TRAIT "Permanent trait: {1}"
TEMPORARY_TRAIT "Temporary trait: {1} ({2} turns)"
TOME_ACQUIRED "You have acquired the knowledge of {1}."
TOME_ALREADY_KNOWN "You already possess the knowledge of {1}."
TOME_CANT_BE_USED "You do not comprehend the knowledge of {1}."
CANT_TRAVEL_WHILE_BEING_ATTACKED_BY "You can't travel while being attacked by {1}."
DROP_HOW_MANY "Drop how many {1}?"
WALKING_INTO_X_WARNING "Walk into the {1}?"
EAT_AT_TASK "Eat at {1}"
FOLLOW_TASK "Follow {1}"
WHIPPING_TASK "Whipping {1}"
STOMACH "stomach"
CANT_MOVE "{1} can't move!"
YOU_CANT_MOVE "You can't move!"
GROUP "group"
HUMANOIDS "humanoids"
FIRE_EFFECT_DESCRIPTION "Burns!"
FIRE_EFFECT_NAME "fire"
HE "he"
HER "her"
IT "it"
ITS "its"
SHE "she"
FAST_GAME_SPEED "fast"
RANGED_WEAPON "ranged weapon"
RANGED_WEAPONS "ranged weapons"
BALSAM "balsam"
CONSUMABLES "consumables"
CORPSE "corpse"
FIRE "fire"
GLYPH "glyph {1}"
GLYPH_BLIND "glyph"
LEGS "legs"
POEM "poem"
POEM_WITH_TYPE "{1} {2}"
SCROLL "scroll"
SKELETON "skeleton"
SKULL "skull"
SPELL "spell"
ABILITY "ability"
BLIND "blind"
PLAGUE "plague"
STOPS_BURNING "{1} stops burning."
FEELS_THE_PRESENCE_OF_A_MAGICAL_FIELD "{1} feels the presence of a magical field."
YOU_FEEL_THE_PRESENCE_OF_A_MAGICAL_FIELD "You feel the presence of a magical field."
RENAME_MINION "Rename minion"
RECEIVE "You receive {1}."
RECEIVES "{1} receives {2}."
IS_KILLED "{1} is {3} by {2}."
MORE_ADJECTIVE "more {1}"
NOT "not {1}"
PERMANENT_LASTING_DESCRIPTION "{1} permanently."
PERMANENT_LASTING_NAME "permanent {1}"
ACTIVITY_ON_OFF_HINT_FOR_GROUP "Click to turn this activity off for all {1}."
COUNT_ITEM_AVAILABLE "({1} items available)"
DISABLE_FOR_ALL_GROUP "Disable for all {1}."
DUNGEON_REQUIRED_MODS "Requires mods: {1}"
EXPERIENCE_TYPE "Experience type: {1}"
QUARTERS_LUXURY "Total luxury: {1}"
SETTING_WILL_APPLY_TO_ALL "Setting will apply to all {1}."
SPELL_LEVEL "Level {1}"
TRAINING_LIMIT_TOOLTIP "The creature's limit for this type of training is {1}."
TRAINING_TYPE_TOOLTIP "{1} training."
UNLOCKS_ITEM_TYPE "Unlocks {1}:"
UPGRADABLE_WITH_UP_TO "Upgradable with up to {1} {2}."
WORK_EFFICIENCY_MULTIPLIER_HINT "Work efficiency multiplier: {1}"
WORLD_MAP_OF "Map of {1}"
FALLS_ASLEEP "{1} falls asleep."
IS "{1} is {2}."
IS_NO_LONGER "{1} is no longer {2}."
ITEM_HITS "{2} hits {1}."
ITEM_MISSES "{2} misses {1}."
ITEMS_CRASH "{2} crash on {1}."
ITEMS_HIT "{2} hit {1}."
ITEMS_MISS "{2} miss {1}."
YOU_DIE "You die!"
YOU_DIE_OF "You die of."
YOUR "Your {1}."
REQUIRES_A "Requires a {1}"
CANT_TRAVEL_WHILE_POISONED "{1} can't travel while being poisoned."
OR "{1} or {2}"
KILL_TITLE "{1} slayer"
MINION_GROUP "{1}   {2}"
YOU_HAVE_CONQUERED_THIS_LAND "You have conquered this land. You killed {1} enemies and scored {2} points. Thank you for playing KeeperRL!"
DEATHS "{1} deaths"
COLD_BLOODED_MURDERS "{1} cold-blooded murders"
CHOPPED_HEADS "{1} chopped heads"
CHOPPED_LIMBS "{1} chopped limbs"
SPELLS_CAST "{1} spells cast"
SCROLLS_READ "{1} scrolls read"
WEAPONS_PRODUCED "{1} weapons produced"
PIECES_OF_ARMOR_PRODUCED "{1} pieces of armor produced"
POTIONS_PRODUCED "{1} potions produced"
ACHIEVED_WORLD_DOMINATION "achieved world domination"
YOU_HAVE_SURVIVED "You have survived in this land for {1} turns. You killed {2} enemies."
TURNS_DEFENDING_THE_BASE "{1} turns defending the base."
TURNS_SPENT_ATTACKING "{1} turns spent adventuring and attacking."
THANK_YOU_FOR_PLAYING "Thank you for playing KeeperRL!"
RETIRED_GAME_RESULT "retired"
YOU_KILLED_AND_SCORED "You killed {1} enemies and scored {3} points."
OF "{1} of {2}"
ITEM_BURNS "{1} burns in the {2}."
ITEMS_BURN "{1} burn in the {2}."
ITEM_SINKS "{1} sinks in the {2}."
ITEMS_SINK "{1} sink in the {2}."
NO_LONGER_SUPER "no longer super"
SUPER "super"
YOU_START "You start {1}."
STARTS "{1} starts {2}."
BLEEDING "bleeding"
MORE_MASCULINE "more masculine"
MORE_FEMININE "more feminine"
MORE_NEUTER "more neuter"
PRISONER_FROM_NAME "{1} (prisoner)"
DEFENSE_BONUS_AGAINST "Grants a +{1} defense bonus against {2}."
ALCHEMY_TECH_NAME "alchemy"
INCENDIARY_ALCHEMY_TECH_NAME "incendiary alchemy"
ADVANCED_ALCHEMY_TECH_NAME "advanced alchemy"
EMBALMING_TECH_NAME "embalming"
ADVANCED_EMBALMING_TECH_NAME "advanced embalming"
MASTER_EMBALMING_TECH_NAME "master embalming"
NECROMANCY_TECH_NAME "necromancy"
ADVANCED_NECROMANCY_TECH_NAME "advanced necromancy"
MASTER_NECROMANCY_TECH_NAME "master necromancy"
ALCHEMICAL_CONVERSION_TECH_NAME "alchemical conversion"
HUMANOID_MUTATION_TECH_NAME "humanoid mutation"
BEAST_MUTATION_TECH_NAME "beast mutation"
CHICKEN_BREEDING_TECH_NAME "chicken breeding"
PIG_BREEDING_TECH_NAME "pig breeding"
COW_BREEDING_TECH_NAME "cow breeding"
IRON_WORKING_TECH_NAME "iron working"
JEWELLERY_TECH_NAME "jewellery"
DISTILLATION_TECH_NAME "distillation"
TWO_HANDED_WEAPONS_TECH_NAME "two-handed weapons"
TRAPS_TECH_NAME "traps"
ADVANCED_TRAPS_TECH_NAME "advanced traps"
ARCHERY_TECH_NAME "archery"
SORCERY_TECH_NAME "sorcery"
ADVANCED_SORCERY_TECH_NAME "advanced sorcery"
MAGICAL_WEAPONS_TECH_NAME "magical weapons"
MASTER_SORCERY_TECH_NAME "master sorcery"
DEMONOLOGY_TECH_NAME "demonology"
WORSHIP_TECH_NAME "worship"
AUTOMATONS_TECH_NAME "automatons"
AUTOMATED_CRAFTING_TECH_NAME "automated crafting"
ADVANCED_AUTOMATONS_TECH_NAME "advanced automatons"
AUTOMATON_BRAINS_TECH_NAME "automaton brains"
AERODYNAMICS_TECH_NAME "aerodynamics"
EXPLOSIVES_TECH_NAME "explosives"
LUXURY_TECH_NAME "luxury"
SMALL_TEMPTATIONS_TECH_NAME "small temptations"
BIG_TEMPTATIONS_TECH_NAME "big temptations"
SLAVERY_TECH_NAME "slavery"
DARK_CRAFTS_TECH_NAME "dark crafts"
ADVANCED_THEOLOGY_TECH_NAME "advanced theology"
EXPERT_THEOLOGY_TECH_NAME "expert theology"
WORSHIP_OF_ADOXIE_TECH_NAME "worship of Adoxie"
ACHIEVEMENTS_ASSASSIN_ID "Discovered an assassin's secret stash"
ACHIEVEMENTS_BLACK_MARKET_ID "Discovered the Black Market"
ACHIEVEMENTS_BLACK_MASS_ID1 "You have dedicated the souls of you and your minions to the Evil God Adoxie"
ACHIEVEMENTS_BLACK_MASS_ID "Held a Black Mass"
ACHIEVEMENTS_BLACKSMITH_STASH_ID "Discovered an artisan's hidden stash"
ACHIEVEMENTS_CAPTURED_PRISONER_ID1 "You managed to enslave an enemy to use for your evil deeds."
ACHIEVEMENTS_CAPTURED_PRISONER_ID "Captured a prisoner"
ACHIEVEMENTS_CONVERTED_PRISONER_ID1 "You have successfully grown your army using enslaved enemies."
ACHIEVEMENTS_CONVERTED_PRISONER_ID "Converted a prisoner"
ACHIEVEMENTS_GUARD_POST_STASH_ID "Discovered Adoxie's cult hidden stash"
ACHIEVEMENTS_KILLED_BALROG_ID1 "You have defeated another terrifying foe from the depths of the world."
ACHIEVEMENTS_KILLED_BALROG_ID "Killed or captured a fire demon"
ACHIEVEMENTS_KILLED_BLACK_DRAGON_COLORINFO "Killed or captured a black dragon"
ACHIEVEMENTS_KILLED_BY_ADOXIE_ID "Killed by the Evil God Adoxie"
ACHIEVEMENTS_KILLED_BY_PIG_ID "Killed by a pig"
ACHIEVEMENTS_KILLED_KIRIN_ID "Killed or captured a ki-rin"
ACHIEVEMENTS_KILLED_KRAKEN_ID "Killed a kraken"
ACHIEVEMENTS_KILLED_MINOTAUR_ID "Killed or captured a minotaur"
ACHIEVEMENTS_LESSER_VILLAIN_ID1 "You are on the right path to becoming a respectable Keeper."
ACHIEVEMENTS_LESSER_VILLAIN_ID "Conquered a lesser villain"
ACHIEVEMENTS_MAIN_VILLAIN_ID1 "Your enemies have every reason to expect all the worst from you."
ACHIEVEMENTS_MAIN_VILLAIN_ID "Conquered a main villain"
ACHIEVEMENTS_MINED_ADA_ID "Mined adamantium ore"
ACHIEVEMENTS_MINED_ADOXIUM_ID "Mined adoxium ore"
ACHIEVEMENTS_MINED_INFERNITE_ID "Mined infernite ore"
ACHIEVEMENTS_MINED_IRON_ID "Mined iron ore"
ACHIEVEMENTS_MORTAL_SIN_ID1 "You have absolved a minion from their mortal sin"
ACHIEVEMENTS_MORTAL_SIN_ID "Absolved of a mortal sin"
ACHIEVEMENTS_OUTBACK_ID "Reached the land Down Under"
ACHIEVEMENTS_POLYMORPHED_INTO_CHICKEN_ID "Polymorphed into a chicken"
ACHIEVEMENTS_RETIRED_ID1 "Your fortress has been immortalized and is awaiting daredevils who'd like to try conquering it."
ACHIEVEMENTS_RETIRED_ID "Retired a dungeon"
ACHIEVEMENTS_RODE_DRAGON_ID "Rode a dragon"
ACHIEVEMENTS_SAVED_BY_PHYLACTERY_ID "Saved by a phylactery"
ACHIEVEMENTS_SOKOBAN_ID "Solved the sokoban puzzle"
ACHIEVEMENTS_SOLO_KEEPER_ID "Won the game as a solo Keeper"
ACHIEVEMENTS_SUCCUBUS_BREADING_ID "Successfully started a succubus breeding program"
ACHIEVEMENTS_TRICKED_DEATH_ID "Tricked Death"
ACHIEVEMENTS_TUTORIAL_DONE_ID1 "You have completed the tutorial and are ready to get your ass handed to you for real!"
ACHIEVEMENTS_TUTORIAL_DONE_ID "Completed the tutorial"
ACHIEVEMENTS_WON_GAME_LOW_HEALTH_ID1 "You have narrowly achieved victory while having less than 5% health."
ACHIEVEMENTS_WON_GAME_LOW_HEALTH_ID "Won the game with low health"
ACHIEVEMENTS_WON_KEEPER_ID1 "You have seized ultimate victory by vanquishing all rivals and asserting your dominion."
ACHIEVEMENTS_WON_KEEPER_ID "Won the game"
ATTR_INFO_ACID_DAMAGE_ADJECTIVE "acidic"
ATTR_INFO_ACID_DAMAGE_BODYPARTINJURY "is dissolved"
ATTR_INFO_ACID_DAMAGE_HELP "Base damage value of acid attacks."
ATTR_INFO_ACID_DAMAGE_NAME "acid damage"
ATTR_INFO_COLD_DAMAGE_ADJECTIVE "chilly"
ATTR_INFO_COLD_DAMAGE_BODYPARTINJURY "is frozen and breaks off"
ATTR_INFO_COLD_DAMAGE_HELP "Base damage value of cold attacks."
ATTR_INFO_COLD_DAMAGE_NAME "cold damage"
ATTR_INFO_DAMAGE_ADJECTIVE "dangerous"
ATTR_INFO_DAMAGE_HELP "Base damage value of melee attacks."
ATTR_INFO_DAMAGE_NAME "damage"
ATTR_INFO_DEFENSE_ADJECTIVE "protected"
ATTR_INFO_DEFENSE_HELP "Affects if and how much damage is taken in combat."
ATTR_INFO_DEFENSE_NAME "defense"
ATTR_INFO_DIGGING_ADJECTIVE "burrowing"
ATTR_INFO_DIGGING_HELP "Allows digging into the ground."
ATTR_INFO_DIGGING_NAME "digging"
ATTR_INFO_DIVINITY_ADJECTIVE "divine"
ATTR_INFO_DIVINITY_HELP "Caps the creature's praying abilities."
ATTR_INFO_DIVINITY_NAME "divinity"
ATTR_INFO_FIRE_DAMAGE_ADJECTIVE "aflame"
ATTR_INFO_FIRE_DAMAGE_BODYPARTINJURY "is incinerated"
ATTR_INFO_FIRE_DAMAGE_HELP "Base damage value of fire attacks."
ATTR_INFO_FIRE_DAMAGE_NAME "fire damage"
ATTR_INFO_FORGE_ADJECTIVE "metallic"
ATTR_INFO_FORGE_HELP "Defines the creature's skill at working at the forge."
ATTR_INFO_FORGE_NAME "forge"
ATTR_INFO_FURNACE_ADJECTIVE "charred"
ATTR_INFO_FURNACE_HELP "Defines the creature's skill at working at the furnace."
ATTR_INFO_FURNACE_NAME "furnace"
ATTR_INFO_JEWELER_ADJECTIVE "golden"
ATTR_INFO_JEWELER_HELP "Defines the creature's skill at working at the jeweler."
ATTR_INFO_JEWELER_NAME "jeweler"
ATTR_INFO_LABORATORY_ADJECTIVE "chemically active"
ATTR_INFO_LABORATORY_HELP "Defines the creature's skill at working at the laboratory."
ATTR_INFO_LABORATORY_NAME "laboratory"
ATTR_INFO_MORGUE_ADJECTIVE "rotten"
ATTR_INFO_MORGUE_HELP "Defines the creature's skill at working at the morgue table."
ATTR_INFO_MORGUE_NAME "morgue"
ATTR_INFO_MULTI_WEAPON_ADJECTIVE "ambidextrous"
ATTR_INFO_MULTI_WEAPON_HELP "Allows using multiple weapons in a single attack. The attribute value defines the damage multiplier for subsequent attacks."
ATTR_INFO_MULTI_WEAPON_NAME "multi-weapon skill"
ATTR_INFO_PARRY_ADJECTIVE "evasive"
ATTR_INFO_PARRY_HELP "Prevents defense penalty from being surrounded."
ATTR_INFO_PARRY_NAME "parry"
ATTR_INFO_RANGED_DAMAGE_ADJECTIVE "accurate"
ATTR_INFO_RANGED_DAMAGE_HELP "Base damage value of ranged attacks."
ATTR_INFO_RANGED_DAMAGE_NAME "ranged damage"
ATTR_INFO_SPELL_DAMAGE_ADJECTIVE "powerful"
ATTR_INFO_SPELL_DAMAGE_HELP "Base damage value of magic attacks."
ATTR_INFO_SPELL_DAMAGE_NAME "spell damage"
ATTR_INFO_SPELL_SPEED_ADJECTIVE "quickhanded"
ATTR_INFO_SPELL_SPEED_HELP "Affects spell cooldown times."
ATTR_INFO_SPELL_SPEED_NAME "spell speed"
ATTR_INFO_WORKSHOP_ADJECTIVE "inventive"
ATTR_INFO_WORKSHOP_HELP "Defines the creature's skill at working at the workshop."
ATTR_INFO_WORKSHOP_NAME "workshop"
BODY_MATERIALS_ADA_DEATHDESCRIPTION "destroyed"
BODY_MATERIALS_ADA_NAME "adamantium"
BODY_MATERIALS_ADOXIUM_DEATHDESCRIPTION "destroyed"
BODY_MATERIALS_ADOXIUM_NAME "adoxium"
BODY_MATERIALS_BONE_DEATHDESCRIPTION "destroyed"
BODY_MATERIALS_BONE_NAME "bone"
BODY_MATERIALS_CLAY_DEATHDESCRIPTION "destroyed"
BODY_MATERIALS_CLAY_NAME "clay"
BODY_MATERIALS_FIRE_DEATHDESCRIPTION "destroyed"
BODY_MATERIALS_FIRE_NAME "fire"
BODY_MATERIALS_FLESH_DEATHDESCRIPTION "killed"
BODY_MATERIALS_FLESH_NAME "flesh"
BODY_MATERIALS_GOLD_DEATHDESCRIPTION "destroyed"
BODY_MATERIALS_GOLD_NAME "gold"
BODY_MATERIALS_ICE_DEATHDESCRIPTION "destroyed"
BODY_MATERIALS_ICE_NAME "ice"
BODY_MATERIALS_INFERNITE_DEATHDESCRIPTION "destroyed"
BODY_MATERIALS_INFERNITE_NAME "infernite"
BODY_MATERIALS_IRON_DEATHDESCRIPTION "destroyed"
BODY_MATERIALS_IRON_NAME "iron"
BODY_MATERIALS_LAVA_DEATHDESCRIPTION "destroyed"
BODY_MATERIALS_LAVA_NAME "lava"
